pixel,cm
347,30
80,30
352,30
343,30
338,30
223,30
328,30
88,30
73,30
72,30
68,30
74,30
78,30
80,30
196,30
46,30
38,30
226,30
170,30
173,30
130,30
162,30
158,30
172,30
129,30
358,30
371,30
385,30
382,30
382,30
385,30
383,30
399,30
379,30
387,30
381,30
379,30
364,30
371,30
363,30
388,30
378,30
383,30
378,30
374,30
368,30
365,30
362,30
383,30
382,30
383,30
399,30
395,30
392,30
395,30
394,30
397,30
391,30
393,30
391,30
384,30
388,30
392,30
393,30
397,30
395,30
406,30
393,30
391,30
389,30
390,30
403,30
382,30
401,30
408,30
389,30
401,30
426,30
409,30
397,30
421,30
424,30
421,30
415,30
433,30
416,30
425,30
424,30
429,30
421,30
424,30
415,30
420,30
418,30
414,30
420,30
420,30
401,30
406,30
399,30
389,30
416,30
400,30
399,30
397,30
382,30
370,30
388,30
392,30
410,30
409,30
409,30
407,30
415,30
408,30
420,30
400,30
406,30
386,30
411,30
417,30
420,30
430,30
440,30
420,30
414,30
420,30
431,30
421,30
432,30
424,30
425,30
413,30
428,30
412,30
424,30
416,30
426,30
420,30
425,30
424,30
425,30
420,30
424,30
424,30
414,30
420,30
420,30
424,30
424,30
420,30
417,30
86,30
425,30
417,30
420,30
414,30
412,30
420,30
429,30
428,30
420,30
424,30
425,30
425,30
424,30
425,30
432,30
426,30
437,30
425,30
420,30
425,30
416,30
425,30
409,30
424,30
412,30
430,30
420,30
432,30
426,30
426,30
433,30
427,30
415,30
415,30
415,30
416,30
415,30
420,30
420,30
413,30
420,30
428,30
425,30
425,30
425,30
425,30
420,30
420,30
410,30
206,30
210,30
206,30
208,30
203,30
208,30
208,30
215,30
192,30
206,30
216,30
215,30
222,30
221,30
225,30
239,30
208,30
208,30
213,30
213,30
216,30
213,30
186,30
193,30
107,30
205,30
215,30
215,30
209,30
208,30
222,30
218,30
208,30
218,30
213,30
222,30
219,30
229,30
205,30
220,30
215,30
193,30
377,30
377,30
382,30
382,30
375,30
376,30
393,30
393,30
394,30
379,30
373,30
377,30
399,30
392,30
379,30
376,30
382,30
370,30
374,30
374,30
365,30
375,30
370,30
369,30
368,30
375,30
382,30
386,30
367,30
386,30
178,30
178,30
172,30
176,30
180,30
178,30
178,30
347,30
347,30
362,30
176,30
171,30
358,30
362,30
342,30
382,30
383,30
374,30
370,30
367,30
390,30
385,30
393,30
390,30
391,30
391,30
382,30
397,30
385,30
392,30
388,30
391,30
397,30
396,30
392,30
408,30
409,30
400,30
406,30
401,30
411,30
410,30
408,30
393,30
411,30
405,30
413,30
398,30
410,30
412,30
405,30
404,30
389,30
398,30
394,30
401,30
386,30
393,30
397,30
393,30
385,30
396,30
404,30
403,30
400,30
408,30
402,30
404,30
408,30
406,30
406,30
397,30
399,30
416,30
414,30
414,30
416,30
391,30
396,30
398,30
415,30
405,30
407,30
404,30
399,30
387,30
396,30
391,30
383,30
388,30
392,30
396,30
395,30
399,30
392,30
403,30
393,30
406,30
406,30
404,30
408,30
399,30
401,30
406,30
389,30
403,30
405,30
409,30
396,30
404,30
424,30
420,30
420,30
409,30
404,30
403,30
417,30
94,20
94,20
66,20
59,20
62,20
98,20
96,20
99,20
95,20
100,20
94,20
96,20
90,20
94,20
94,20
96,20
100,20
101,20
100,20
101,20
101,20
98,20
97,20
95,20
96,20
99,20
94,20
89,20
89,20
96,20
90,20
98,20
90,20
90,20
88,20
90,20
88,20
93,20
93,20
89,20
91,20
91,20
84,20
92,20
89,20
88,20
92,20
94,20
89,20
96,20
94,20
84,20
89,20
92,20
93,20
86,20
93,20
94,20
83,20
105,20
93,20
98,20
92,20
97,20
92,20
93,20
101,20
98,20
96,20
162,20
102,20
112,20
131,20
152,20
153,20
136,20
142,20
136,20
400,20
156,20
167,20
85,20
157,20
153,20
165,20
176,20
162,20
160,20
168,20
172,20
170,20
170,20
172,20
52,20
53,20
52,20
155,20
46,20
52,20
52,20
50,20
49,20
53,20
52,20
51,20
59,20
68,20
98,20
105,20
57,20
61,20
60,20
167,20
157,20
37,20
48,20
46,20
45,20
48,20
